videoId,title,channelId,channelTitle,category,publishDate,collectDate,collectTime,region,viewCount,likeCount,commentCount,publishTime
87OVxohmIVA,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay - Top 20 Nhạc TikTok Hay 2025,UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,People & Blogs,2025-09-21,01:53:01,2025-09-24,06:01:33,VN,49380,591,7
hfHRBOC25uU,NHẠC REMIX TIKTOK HOT TREND 2025 - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 25 Remix Thịnh Hành,UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,Music,2025-09-20,23:00:45,2025-09-24,06:01:33,VN,251333,0,71
G4asipOAx70,Con Trai VS Con Gái Khi Chơi Minecraft Chung Với Nhau 🤣 #shorts,UC11oTbX26gLAK2lAxfwj2OA,Hoàng ACC,Gaming,2025-09-21,01:59:40,2025-09-24,06:01:33,VN,195385,2686,33
zKYLcyYWdaQ,Cổng Nhân Bản NGHÈO VS GIÀU Trong Minecraft,UCPTt4CynO5PnxvK3Nk76E_w,JackVN,Gaming,2025-09-20,11:01:54,2025-09-24,06:01:33,VN,43955,311,7
RIXgGn-DSBA,Bóc giá em gái sang chảnh đi dạo phố và cái kết,UCrfeVZ3yvA55CY7vhJj0H_g,ViệtCG Team,People & Blogs,2025-09-17,08:46:44,2025-09-24,06:01:33,VN,6438,75,1
NWkbFQ3lohM,Cùng Trâm đi dạo cửa hàng cây cảnh ở Hà Lan nha #shortvideo,UCGdPnraIyIxFotiSNOc2Owg,Trâm Hen Ben,People & Blogs,2025-09-18,12:00:57,2025-09-24,06:01:33,VN,191,2,0
R52MV8mK4FQ,"VAN SON 😊 Hài Xuyên Thế Kỷ 75 - BÀ VỢ THỨ 9 CỦA TUI - Vân Sơn, Quang Minh, Hồng Đào, Bảo Liêm",UCtH2Zug6bEpkxLhnoervTQw,Van Son,Entertainment,2025-09-20,12:00:06,2025-09-24,06:01:33,VN,10612,83,5
3DZOyaZVjtg,cười xỉu quang lê song tấu hài kịch với hoài linh | #shorts,UCNqz53FCc3mUg5NyzHxsXGQ,Quang Lê Official,Music,2025-09-20,12:30:03,2025-09-24,06:01:33,VN,29470,228,3
BvGUyOU-WBY,Bình Luận Tiếng Việt:  GEN vs T1 | Lower Round 3 LCK 2025,UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,Gaming,2025-09-21,11:31:58,2025-09-24,12:16:08,VN,3753694,22570,197
4_X8nmUaKxI,Thiên Mệnh Anh Hùng | Video Mở Màn Trận Chung Kết Tổng,UChG2EWuXoW7Tgof35WjbsnQ,LoL Esports VN,Gaming,2025-09-21,09:05:25,2025-09-24,12:16:08,VN,4069,88,3
87OVxohmIVA,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay - Top 20 Nhạc TikTok Hay 2025,UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,People & Blogs,2025-09-21,01:53:01,2025-09-24,12:16:08,VN,50876,593,7
hfHRBOC25uU,NHẠC REMIX TIKTOK HOT TREND 2025 - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 25 Remix Thịnh Hành,UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,Music,2025-09-20,23:00:45,2025-09-24,12:16:08,VN,255271,0,72
G4asipOAx70,Con Trai VS Con Gái Khi Chơi Minecraft Chung Với Nhau 🤣 #shorts,UC11oTbX26gLAK2lAxfwj2OA,Hoàng ACC,Gaming,2025-09-21,01:59:40,2025-09-24,12:16:08,VN,200452,2763,34
zKYLcyYWdaQ,Cổng Nhân Bản NGHÈO VS GIÀU Trong Minecraft,UCPTt4CynO5PnxvK3Nk76E_w,JackVN,Gaming,2025-09-20,11:01:54,2025-09-24,12:16:08,VN,44461,314,7
RIXgGn-DSBA,Bóc giá em gái sang chảnh đi dạo phố và cái kết,UCrfeVZ3yvA55CY7vhJj0H_g,ViệtCG Team,People & Blogs,2025-09-17,08:46:44,2025-09-24,12:16:08,VN,6440,75,1
NWkbFQ3lohM,Cùng Trâm đi dạo cửa hàng cây cảnh ở Hà Lan nha #shortvideo,UCGdPnraIyIxFotiSNOc2Owg,Trâm Hen Ben,People & Blogs,2025-09-18,12:00:57,2025-09-24,12:16:08,VN,191,2,0
R52MV8mK4FQ,"VAN SON 😊 Hài Xuyên Thế Kỷ 75 - BÀ VỢ THỨ 9 CỦA TUI - Vân Sơn, Quang Minh, Hồng Đào, Bảo Liêm",UCtH2Zug6bEpkxLhnoervTQw,Van Son,Entertainment,2025-09-20,12:00:06,2025-09-24,12:16:08,VN,10763,83,5
3DZOyaZVjtg,cười xỉu quang lê song tấu hài kịch với hoài linh | #shorts,UCNqz53FCc3mUg5NyzHxsXGQ,Quang Lê Official,Music,2025-09-20,12:30:03,2025-09-24,12:16:08,VN,29994,230,3
BvGUyOU-WBY,Bình Luận Tiếng Việt:  GEN vs T1 | Lower Round 3 LCK 2025,UCm0P5i4TNItvgmPCZCGSyYA,LCK Tiếng Việt,Gaming,2025-09-21,11:31:58,2025-09-24,18:12:57,VN,3759079,22571,200
4_X8nmUaKxI,Thiên Mệnh Anh Hùng | Video Mở Màn Trận Chung Kết Tổng,UChG2EWuXoW7Tgof35WjbsnQ,LoL Esports VN,Gaming,2025-09-21,09:05:25,2025-09-24,18:12:57,VN,4084,88,3
87OVxohmIVA,NHẠC REMIX TIKTOK TRIỆU VIEW - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay - Top 20 Nhạc TikTok Hay 2025,UCPDs5WRe5P-DFW_1EIPqlWQ,Orinn Mix,People & Blogs,2025-09-21,01:53:01,2025-09-24,18:12:57,VN,51803,594,7
hfHRBOC25uU,NHẠC REMIX TIKTOK HOT TREND 2025 - BXH Nhạc Trẻ Remix Hay Nhất Hiện Nay🎼Top 25 Remix Thịnh Hành,UCGO3xOdjuKhULFkwwPoE3Mg,H2O Remix,Music,2025-09-20,23:00:45,2025-09-24,18:12:57,VN,258070,0,72
G4asipOAx70,Con Trai VS Con Gái Khi Chơi Minecraft Chung Với Nhau 🤣 #shorts,UC11oTbX26gLAK2lAxfwj2OA,Hoàng ACC,Gaming,2025-09-21,01:59:40,2025-09-24,18:12:57,VN,205875,2790,34
zKYLcyYWdaQ,Cổng Nhân Bản NGHÈO VS GIÀU Trong Minecraft,UCPTt4CynO5PnxvK3Nk76E_w,JackVN,Gaming,2025-09-20,11:01:54,2025-09-24,18:12:57,VN,45072,317,7
RIXgGn-DSBA,Bóc giá em gái sang chảnh đi dạo phố và cái kết,UCrfeVZ3yvA55CY7vhJj0H_g,ViệtCG Team,People & Blogs,2025-09-17,08:46:44,2025-09-24,18:12:57,VN,6442,75,1
NWkbFQ3lohM,Cùng Trâm đi dạo cửa hàng cây cảnh ở Hà Lan nha #shortvideo,UCGdPnraIyIxFotiSNOc2Owg,Trâm Hen Ben,People & Blogs,2025-09-18,12:00:57,2025-09-24,18:12:57,VN,191,2,0
R52MV8mK4FQ,"VAN SON 😊 Hài Xuyên Thế Kỷ 75 - BÀ VỢ THỨ 9 CỦA TUI - Vân Sơn, Quang Minh, Hồng Đào, Bảo Liêm",UCtH2Zug6bEpkxLhnoervTQw,Van Son,Entertainment,2025-09-20,12:00:06,2025-09-24,18:12:57,VN,10982,83,5
3DZOyaZVjtg,cười xỉu quang lê song tấu hài kịch với hoài linh | #shorts,UCNqz53FCc3mUg5NyzHxsXGQ,Quang Lê Official,Music,2025-09-20,12:30:03,2025-09-24,18:12:57,VN,30473,231,3
